Gene Name;"""Replicate 1, Medium channel SILAC, time 0""";"""Replicate 1, Medium channel SILAC, Mock-stimulus, time 0.5h""";"""Replicate 1, Medium channel SILAC, Mock-stimulus, time 1h""";"""Replicate 1, Medium channel SILAC, Mock-stimulus, time 2h""";"""Replicate 1, Medium channel SILAC, Mock-stimulus, time 3h""";"""Replicate 1, Medium channel SILAC, Mock-stimulus, time 4h""";"""Replicate 1, Medium channel SILAC, Mock-stimulus, time 5h""";"""Replicate 1, Medium channel SILAC, Mock-stimulus, time 6h""";"""Replicate 1, Medium channel SILAC, Mock-stimulus, time 9h""";"""Replicate 1, Medium channel SILAC, Mock-stimulus, time 12h""";"""Replicate 1, Medium channel SILAC, Mock-stimulus, time 24h""";"""Replicate 1, Medium channel SILAC, LPS-stimulus, time 0.5h""";"""Replicate 1, Medium channel SILAC, LPS-stimulus, time 1h""";"""Replicate 1, Medium channel SILAC, LPS-stimulus, time 2h""";"""Replicate 1, Medium channel SILAC, LPS-stimulus, time 3h""";"""Replicate 1, Medium channel SILAC, LPS-stimulus, time 4h""";"""Replicate 1, Medium channel SILAC, LPS-stimulus, time 5h""";"""Replicate 1, Medium channel SILAC, LPS-stimulus, time 6h""";"""Replicate 1, Medium channel SILAC, LPS-stimulus, time 9h""";"""Replicate 1, Medium channel SILAC, LPS-stimulus, time 12h""";"""Replicate 1, Medium channel SILAC, LPS-stimulus, time 24h""";"""Replicate 2, Medium channel SILAC, time 0""";"""Replicate 2, Medium channel SILAC, Mock-stimulus, time 0.5h""";"""Replicate 2, Medium channel SILAC, Mock-stimulus, time 1h""";"""Replicate 2, Medium channel SILAC, Mock-stimulus, time 2h""";"""Replicate 2, Medium channel SILAC, Mock-stimulus, time 3h""";"""Replicate 2, Medium channel SILAC, Mock-stimulus, time 4h""";"""Replicate 2, Medium channel SILAC, Mock-stimulus, time 5h""";"""Replicate 2, Medium channel SILAC, Mock-stimulus, time 6h""";"""Replicate 2, Medium channel SILAC, Mock-stimulus, time 9h""";"""Replicate 2, Medium channel SILAC, Mock-stimulus, time 12h""";"""Replicate 2, Medium channel SILAC, Mock-stimulus, time 24h""";"""Replicate 2, Medium channel SILAC, LPS-stimulus, time 0.5h""";"""Replicate 2, Medium channel SILAC, LPS-stimulus, time 1h""";"""Replicate 2, Medium channel SILAC, LPS-stimulus, time 2h""";"""Replicate 2, Medium channel SILAC, LPS-stimulus, time 3h""";"""Replicate 2, Medium channel SILAC, LPS-stimulus, time 4h""";"""Replicate 2, Medium channel SILAC, LPS-stimulus, time 5h""";"""Replicate 2, Medium channel SILAC, LPS-stimulus, time 6h""";"""Replicate 2, Medium channel SILAC, LPS-stimulus, time 9h""";"""Replicate 2, Medium channel SILAC, LPS-stimulus, time 12h""";"""Replicate 2, Medium channel SILAC, LPS-stimulus, time 24h""";"""Replicate 1, Heavy channel SILAC, time 0""";"""Replicate 1, Heavy channel SILAC, Mock-stimulus, time 0.5h""";"""Replicate 1, Heavy channel SILAC, Mock-stimulus, time 1h""";"""Replicate 1, Heavy channel SILAC, Mock-stimulus, time 2h""";"""Replicate 1, Heavy channel SILAC, Mock-stimulus, time 3h""";"""Replicate 1, Heavy channel SILAC, Mock-stimulus, time 4h""";"""Replicate 1, Heavy channel SILAC, Mock-stimulus, time 5h""";"""Replicate 1, Heavy channel SILAC, Mock-stimulus, time 6h""";"""Replicate 1, Heavy channel SILAC, Mock-stimulus, time 9h""";"""Replicate 1, Heavy channel SILAC, Mock-stimulus, time 12h""";"""Replicate 1, Heavy channel SILAC, Mock-stimulus, time 24h""";"""Replicate 1, Heavy channel SILAC, LPS-stimulus, time 0.5h""";"""Replicate 1, Heavy channel SILAC, LPS-stimulus, time 1h""";"""Replicate 1, Heavy channel SILAC, LPS-stimulus, time 2h""";"""Replicate 1, Heavy channel SILAC, LPS-stimulus, time 3h""";"""Replicate 1, Heavy channel SILAC, LPS-stimulus, time 4h""";"""Replicate 1, Heavy channel SILAC, LPS-stimulus, time 5h""";"""Replicate 1, Heavy channel SILAC, LPS-stimulus, time 6h""";"""Replicate 1, Heavy channel SILAC, LPS-stimulus, time 9h""";"""Replicate 1, Heavy channel SILAC, LPS-stimulus, time 12h""";"""Replicate 1, Heavy channel SILAC, LPS-stimulus, time 24h""";"""Replicate 2, Heavy channel SILAC, time 0""";"""Replicate 2, Heavy channel SILAC, Mock-stimulus, time 0.5h""";"""Replicate 2, Heavy channel SILAC, Mock-stimulus, time 1h""";"""Replicate 2, Heavy channel SILAC, Mock-stimulus, time 2h""";"""Replicate 2, Heavy channel SILAC, Mock-stimulus, time 3h""";"""Replicate 2, Heavy channel SILAC, Mock-stimulus, time 4h""";"""Replicate 2, Heavy channel SILAC, Mock-stimulus, time 5h""";"""Replicate 2, Heavy channel SILAC, Mock-stimulus, time 6h""";"""Replicate 2, Heavy channel SILAC, Mock-stimulus, time 9h""";"""Replicate 2, Heavy channel SILAC, Mock-stimulus, time 12h""";"""Replicate 2, Heavy channel SILAC, Mock-stimulus, time 24h""";"""Replicate 2, Heavy channel SILAC, LPS-stimulus, time 0.5h""";"""Replicate 2, Heavy channel SILAC, LPS-stimulus, time 1h""";"""Replicate 2, Heavy channel SILAC, LPS-stimulus, time 2h""";"""Replicate 2, Heavy channel SILAC, LPS-stimulus, time 3h""";"""Replicate 2, Heavy channel SILAC, LPS-stimulus, time 4h""";"""Replicate 2, Heavy channel SILAC, LPS-stimulus, time 5h""";"""Replicate 2, Heavy channel SILAC, LPS-stimulus, time 6h""";"""Replicate 2, Heavy channel SILAC, LPS-stimulus, time 9h""";"""Replicate 2, Heavy channel SILAC, LPS-stimulus, time 12h""";"""Replicate 2, Heavy channel SILAC, LPS-stimulus, time 24h""";"""Replicate 1, Unlabeled, Baseline, AspN Peptide Library Protocol""";"""Replicate 2, Unlabeled, Baseline, AspN Peptide Library Protocol""";"""Replicate 1, Unlabeled, Baseline, LysN Peptide Library Protocol""";"""Replicate 2, Unlabeled, Baseline, LysN Peptide Library Protocol"""
"""Acsl1""";112.9957657;126.94583;124.912375;129.9277556;126.0075871;134.0933697;133.1809126;128.9566992;131.7204356;132.2934053;133.7052075;150.2419185;137.53712;137.3942481;136.309809;128.4642847;135.0781545;122.9146236;120.8719148;123.4658088;164.2430927;114.142067;132.8506017;128.229919;131.3361842;138.7974141;142.5957848;141.6292056;137.9898418;139.5192834;131.821364;140.2609662;145.6308671;144.5051952;133.6005405;133.0463819;140.2464264;134.4225857;125.2504331;135.797545;119.3652983;163.9513229;55.4668262;51.98125565;49.16975449;54.81298744;57.56956224;50.90702281;64.7251774;45.31777693;71.73781341;67.84285603;61.81972008;67.72838217;50.49278488;55.33291001;43.7111581;49.66105557;86.54638091;111.9730069;264.7705547;445.3326567;1019.124219;46.31263271;45.98065174;41.98957865;47.10634409;59.08463448;42.78084142;36.94951826;46.20222872;40.57927042;52.03920657;57.60318219;39.10610743;40.91657152;42.28331458;33.32271992;49.76467651;71.63850045;111.691645;264.5531638;430.843137;1014.650719;20.46919484;14.97535452;87.35351908;39.30502174
"""Irg1""";213.3274331;205.0908512;221.4016225;262.2897909;224.8943155;256.8103573;258.3486191;242.5672922;251.2146199;276.4934722;243.5210322;210.6161173;260.6692036;235.8939232;280.7783685;273.4321746;316.9669515;330.0086255;342.5153913;372.3475937;425.9540779;167.0951352;192.1003045;202.477184;221.0771443;229.429404;209.1045993;213.2073902;214.6854587;216.9008129;201.2376357;208.5018123;214.856295;194.8529936;222.914981;245.9638372;278.5648035;287.770591;299.8888631;330.9710026;327.315914;374.5620701;121.998126;90.82359382;123.688672;108.0279902;131.7062044;150.6727697;149.9647994;140.20411;141.0039854;130.5673689;135.5581217;122.8582099;121.176934;126.538082;319.6876257;593.8111352;889.0733523;1136.159064;1671.382145;1952.540348;2437.241301;75.89159201;91.26248801;84.14043557;78.10892609;72.2664448;93.97770922;78.04017278;92.70569935;117.0614572;93.40674273;142.2832446;90.50716028;104.5169895;128.3366194;315.4927118;604.1173567;853.9152605;1082.96787;1579.741159;2037.5935;2362.469588;9.027613977;21.99832779;21.05319117;14.96474161
"""Pnp""";567.5909224;557.8440787;543.4431534;519.9303975;521.8501962;514.1876817;509.2813483;536.4229365;526.4192398;514.1998617;469.8489879;508.4498755;527.1250281;541.9449125;538.112272;547.87932;504.4924955;531.3382977;532.4669559;522.7742853;547.8636531;580.417471;576.0420341;573.4352497;564.2685074;549.494469;559.7211236;521.5428663;531.3884855;538.2956276;551.1346325;467.4114316;513.6698968;546.8600593;572.116049;562.9320869;547.3111828;546.3801294;551.7908042;574.8165262;494.5652141;539.0992467;73.28164432;85.1767802;90.58894922;78.27000532;108.0424582;101.9238603;122.6619112;89.65826375;141.7401284;128.331039;149.3332455;78.77759617;93.42965289;90.21326306;98.34874388;138.1139367;203.962535;290.5255452;557.9328467;746.7968759;1049.064785;71.83337874;78.62171618;93.56741393;91.27972761;90.77974129;88.74052186;101.1315536;85.66269943;99.19757307;108.4563716;133.9452105;95.0447499;83.09670185;93.15043154;102.5037687;154.6792138;206.4523395;301.7921157;569.3721543;705.3321289;1032.07598;0.0;0.0;0.0;0.0
"""Sqstm1""";75.71646042;67.91150963;64.21196578;65.27172146;49.80662988;56.03185861;59.95792944;45.71981975;48.09177249;49.71393299;66.06933495;64.824323;62.18385491;64.76765312;74.53579947;78.34737475;80.66408142;78.25265411;77.76982417;91.21435047;75.62359102;87.55689935;74.73992878;65.93402393;64.22065287;64.71025602;61.64507199;54.47933556;51.49014002;42.86235785;36.12160294;43.6447185;76.22245753;78.75497857;74.6931679;81.17227377;89.5667571;85.239907;80.84085743;75.8852181;73.64591096;79.56789553;14.78027429;22.5297306;22.79577587;29.97654782;51.00068488;57.43612717;74.55078153;77.78627107;87.35054197;79.7779766;84.3584656;20.55680822;23.41913357;69.14509564;141.2082458;202.9191384;257.9946779;289.9495943;365.6588974;416.4429864;327.3293783;16.74712746;24.74744033;20.54110588;33.81625554;51.39182308;64.92892419;80.2475214;87.38635649;84.38932595;87.58692487;94.50845923;30.17664895;27.43180044;77.94086484;145.8419446;218.2209811;266.9923825;309.0137881;357.6056446;397.2296694;343.2862657;75.96611833;98.45038916;180.9415716;166.0228762
"""Marcksl1""";66.10191385;82.61010813;78.25036904;73.33820043;60.87347272;73.90114648;98.49031744;67.63574588;65.12806994;57.73698623;64.60826289;76.60395237;92.25576459;76.87956549;77.98353135;79.20871188;81.86989835;79.1990996;82.60354137;85.32429691;75.3292952;64.99471688;66.62840951;63.9429207;66.87614382;63.63458462;62.66436582;72.19622011;68.54090697;56.04174134;53.67857519;77.59058489;88.02904919;76.32770767;74.17554951;76.11813846;71.20668742;75.79885109;83.40110237;66.29067831;79.04900915;60.78427953;18.08311767;21.12860712;15.39192268;20.99068534;25.60321881;28.57666715;32.80928476;17.78571128;36.8915068;37.06472263;48.53905188;24.90835701;21.295616;30.58732718;56.25699155;97.87012076;133.6628203;160.0003768;244.0505302;276.3672406;256.0813422;17.58424607;21.72625711;4.444847294;19.61909929;21.72477104;25.98679064;28.73195849;23.65647586;31.6415004;35.728296;48.81819481;18.19815336;31.20839007;27.46198811;64.47677573;90.09393859;122.3306896;154.2603231;207.4063022;294.7452535;265.2512015;28.65258191;41.025604;175.9143867;102.9460143
"""Psme2""";661.4388011;671.0169907;647.5559537;621.4826948;606.1407235;633.1132323;602.0985594;613.4863825;636.2105441;605.2664226;534.8621586;605.2269931;593.3191207;654.9562306;665.0170721;665.6679433;619.0184795;651.1635187;642.537246;590.6378376;553.4559404;675.2363455;642.9979376;655.9043839;637.389895;622.3345032;590.8433343;591.2040671;622.9315968;605.1514875;618.0615977;510.0600879;628.0349451;668.0468444;674.4622932;658.1575376;642.2244722;661.8321715;674.2656332;627.0857768;617.3377862;549.7549512;67.22683377;49.51000053;57.95278311;59.37557623;62.82669402;63.41329025;64.28305877;55.11915121;83.27132252;88.61863559;113.8097925;62.5512277;82.65119367;64.08720891;66.35701561;74.93558833;82.23099231;113.2063522;243.2429132;359.7087269;719.6243228;63.43904465;48.95405091;58.07970367;59.82362346;67.44146955;70.18974989;58.20436868;65.3371133;70.66995605;81.58277343;131.1601371;57.83654981;63.41092667;71.18685292;47.41629562;54.42735561;87.13438981;107.5305975;230.6303927;361.8499006;690.906824;936.122842;818.5971365;727.3347636;540.742764
"""BC002288;B2m""";372.8909351;336.1100269;295.653555;292.6586521;247.808499;234.947464;216.2336516;207.5052449;166.6167859;168.8195101;166.1550042;385.0788854;327.5386617;267.0569511;239.46132;211.2533542;181.6309836;169.4742657;140.0663609;139.785779;252.2123009;339.8172036;342.8343343;322.8133499;254.2721569;229.5506859;213.1963957;183.4288505;179.8205107;148.8536589;147.2856618;161.3707042;389.4658828;334.3786184;233.3989797;202.3332157;184.0957326;146.5942799;151.723564;114.7783576;99.18636868;217.1272848;45.00224214;88.9629829;122.5013975;154.7894151;223.8196049;207.4684953;279.5294782;266.4447124;315.1923674;336.7248056;375.3706639;112.2590277;114.8711976;153.4263601;213.5107398;329.8368836;376.1657019;466.1160825;652.9281823;789.7925421;1345.169546;42.6717473;76.7530349;147.0573624;167.0971765;177.4612337;228.9409631;261.4475528;262.3481881;331.161971;312.5443578;425.8759502;89.21418597;134.6390764;161.7384151;235.8357926;298.7707223;365.9964591;464.7833517;643.5434263;786.4071511;1347.971233;0.0;0.0;0.0;0.0
"""Slc7a2""";1.637533753;2.163462968;2.42449458;1.60623867;1.959152212;1.400765356;2.345447219;1.69784664;1.800701226;2.244896883;1.314797276;2.075851323;2.797778478;1.53043397;2.838251806;2.894943268;2.351501669;2.392196231;4.195167433;4.259347298;4.113785001;1.387500038;1.534099642;1.528266498;1.452329489;1.536101821;0.865511157;1.363017002;1.330925591;0.76909167;0.815124071;1.286146024;1.389255199;1.38231888;1.460804359;1.10617499;1.469700803;1.467000501;2.164698064;2.764936509;2.980677196;3.410621062;1.168332551;1.95703153;3.478316522;1.679591614;1.73337991;2.885557428;1.992563012;1.084680257;2.979481078;2.241918655;5.560905182;5.431085191;4.236111244;1.331456239;4.102293709;10.93336597;19.27538321;27.38789916;57.74833664;66.96228379;67.813954;1.219000468;1.619150582;2.144171603;2.167864714;1.821570815;1.276351026;1.868421386;2.418786116;2.174439438;1.316676238;1.997749828;0.844907814;2.433075383;1.7346389;2.688729154;8.190978886;17.22666596;25.63715821;50.07874034;63.48472858;55.54373888;8.502698648;7.402660366;0.0;0.0
"""Il1b""";18.98593369;46.81794637;26.18718162;10.95568223;44.15413884;25.35893546;13.91644017;18.52779832;27.14521004;33.19511871;56.11412496;20.11598033;14.4906618;34.0286832;57.67189369;70.58456792;71.60542322;71.85725909;57.12649703;69.48715262;21.29811006;40.03439913;11.57285379;17.59401407;14.07842976;16.76129545;34.62351419;30.17316463;21.84024438;48.62703914;29.66853328;106.1593842;16.22757952;20.34704973;33.25396778;59.22162253;65.4669975;66.11245586;69.97650783;60.1472738;55.45127875;15.08702701;26.76020444;22.71262926;10.32975689;4.046535969;34.2328662;48.80764739;24.73562717;18.84892458;34.18224535;33.28377677;74.80909197;20.53096481;25.00671936;114.748761;274.4390355;459.2777714;603.1053074;662.63777;779.4425105;610.3371875;161.4030408;13.87537609;9.520708837;13.95055748;4.966968056;11.21854484;22.69745802;24.47385062;25.73494046;26.10737362;22.42624396;37.55985131;20.07990827;24.53045674;127.3418339;279.5676577;445.5913333;606.7474219;704.7057215;800.2802827;685.1710279;164.3684071;7.347026751;14.03851787;0.0;0.0
"""Ifi205""";44.84155254;42.6183224;46.74685119;49.09614353;40.35962811;36.41034486;57.56268558;44.98225371;58.57130424;50.62390235;56.4134467;32.99509575;50.50814902;39.15366527;38.55686932;45.14510053;41.60152693;38.51913652;56.96128484;50.70670757;49.77137217;52.1326407;44.96062427;43.82727732;50.66925344;49.75517346;50.36453125;55.37064428;49.48936915;57.72994341;55.97295143;48.37123152;46.85308489;48.01292731;47.86562583;53.78894145;45.11141727;46.90367556;50.88988745;56.98037825;44.77559845;48.45612446;31.74910565;30.1826438;33.54452048;33.45143335;36.80767197;37.00501239;51.60499541;31.69731521;54.82503243;55.52575956;54.42005297;32.20469245;30.16592112;33.59010728;32.97472447;66.04004297;132.3522175;187.9704159;318.9128282;348.6037008;300.9809021;31.75247044;31.9862793;32.53887003;37.4517108;43.65164331;31.08128922;28.61903483;35.89611695;35.31275408;39.45028516;34.08014505;36.54250113;47.93665578;31.38325067;33.45287535;64.86352257;120.5279647;174.8350566;323.3153601;354.707446;346.7688288;0.0;0.0;0.0;0.0
"""Slc3a2""";58.9804367;61.42578473;54.24952548;65.88310997;53.91130364;61.67458875;59.45068954;53.62196399;61.71964185;57.43541977;65.34225312;77.58035025;66.42713884;67.17730823;65.47328279;58.60547772;59.14849302;47.13316316;54.04243004;48.26141124;43.59735777;66.93301171;63.82023259;62.89560784;45.17532915;49.08346708;56.3605084;63.25328193;57.59533945;60.45613952;51.86917384;51.16069751;69.75218699;57.73683008;73.28106007;55.42148335;71.58307338;59.16208246;63.20132986;53.21745796;46.88066748;41.58773688;10.46097705;7.59387789;10.3725653;9.930394829;11.10627083;12.27066639;15.01421604;13.27914079;24.00194989;28.6504159;61.12805132;6.635928058;9.90976273;12.41176909;13.32014278;22.28458498;33.70604051;40.4405044;90.15700097;115.293194;154.3875146;8.612937924;10.08333793;11.11098805;8.769070197;10.93414097;15.01309015;15.96909569;14.9845965;29.03945638;32.8574344;54.74904669;9.91652187;11.38055758;14.41954492;12.75038714;26.3655213;34.20549555;53.02180012;96.58826166;127.6353443;147.0898218;99.56585384;117.4429983;101.7963741;193.0071271
"""Ifi47""";15.39856266;14.05514813;16.091603;12.44512238;15.68288007;16.42678057;11.41793991;15.24345169;14.52759719;10.45990865;11.4837685;18.06483801;17.74856907;16.79466794;14.46233883;12.25317128;12.7468565;12.52815487;13.8503092;12.2655298;12.43858017;13.82405083;12.43178099;13.10506847;14.00332966;11.31641306;13.42039044;12.05296874;10.58138644;12.49955341;11.93693262;8.752074615;12.33651084;13.1934093;13.26050207;13.3891658;11.88400963;12.9574405;12.25182397;12.07399935;11.26353779;7.048635883;8.078484859;4.71654462;10.39598967;11.26324941;12.25316131;11.79132001;10.82195805;11.17151065;9.795060364;11.56099968;16.21638926;13.68208062;13.39225764;12.78251878;8.691414899;24.36111479;47.0321143;66.39688783;94.70109436;92.1879525;60.6851671;10.13157409;6.403870527;7.353188147;8.154582213;8.67258832;10.68482055;7.799505686;6.293790684;11.60668826;12.73587461;8.242778139;13.75723402;9.443007294;11.57642628;9.30085882;22.45156023;46.88416552;62.6742763;89.56974423;88.71933058;55.58196113;0.0;2.437343569;0.0;0.0
"""Prdx1""";8195.394509;7878.212819;7773.426343;7671.590282;7562.343961;7395.0112;7390.01367;7659.563435;7722.845545;7718.792357;7076.941748;7128.105398;7527.86041;7704.653394;7758.274384;7651.652675;7367.223079;7541.52076;7223.931604;7219.917651;6851.029278;8898.982702;8477.765991;7940.724066;8392.281031;8008.211559;8104.745017;8303.376942;8270.722836;7955.325395;7960.81759;7354.489965;7541.988591;7961.621169;8510.899673;8421.462357;8053.784129;8276.939662;8035.015145;7832.85687;7960.342934;7474.139156;750.7096985;1111.54593;914.1421363;823.1692257;725.8374408;781.4221274;880.958942;954.3980196;1361.663705;1933.817746;3194.530701;854.012026;884.8133002;951.9415081;767.7884311;841.7685354;1033.647761;1284.000314;2670.836311;4193.162807;10908.83933;688.2381681;654.8815583;685.4668829;650.8783906;660.9017733;721.6930879;646.4488636;852.8392914;1293.103498;1711.872797;3408.85525;652.0500294;794.2932567;568.4894559;681.6473713;747.8893438;944.794201;1267.92059;2675.80203;4515.652237;10767.8576;8347.154936;8453.403149;9925.393717;9087.596825
"""Ddx58""";24.27701876;22.58092325;21.40479627;21.91054448;21.50362555;21.89584884;19.87995051;22.91234975;20.18361008;22.72961464;19.12861977;19.60097994;21.41457086;22.39224095;19.76218438;22.60194328;20.46402467;20.96239126;21.16449622;23.21864243;23.07348653;21.61556864;20.06063761;18.32846082;18.07132819;19.12551043;18.21902877;18.17232884;17.05062914;17.01140255;17.90612006;15.73922376;17.18154225;16.87795072;18.34246879;19.9729007;17.54095424;19.15212388;17.82619577;17.33618371;19.84752416;18.43045811;5.487071381;6.505111453;6.709744803;6.488502132;5.748635144;6.307489082;6.911127768;8.610485587;8.922484754;8.94943968;8.104109904;8.33129981;6.77121665;9.548482519;7.086674991;8.751651596;11.17238934;18.93057286;40.98617038;62.36999794;99.48762501;3.195944539;3.087022647;4.553082378;4.120590281;5.035990742;4.200354998;5.457227049;3.954541773;5.77482222;3.337243869;7.171103239;6.437533436;4.220532062;3.975666199;8.351979738;7.305332195;10.27678338;16.7158347;38.66085736;58.25014481;98.41761212;2.300831184;2.252576269;6.216814672;6.685340338
"""Ywhaz""";5885.335606;5663.16624;5584.833405;5299.489744;5483.326601;5372.336735;5441.973158;5494.844468;5496.91;5527.634862;4808.995492;5353.774881;5215.272105;5340.757924;5359.510774;5190.788161;5633.788756;5656.97391;5644.670388;5519.800202;4955.067965;6034.317467;5799.647477;5673.649661;6000.631578;5789.314175;5879.424024;5898.258638;5680.066544;5699.100431;5634.521258;4934.244149;5559.550639;5697.783452;5932.291818;6044.74495;5555.847175;5746.725982;5780.613528;5747.597466;5961.140258;5237.608549;265.166985;264.0798785;273.1467894;278.7046733;306.0721987;317.8900987;359.0765247;403.9701176;582.1809844;659.2759005;1110.518725;254.6224557;241.16954;259.2360091;307.8635009;366.743489;432.3179832;600.5099359;877.0875327;1078.107073;1850.971261;256.4319329;248.3424304;285.0949782;249.1659996;278.7156751;311.0080021;332.461576;401.8411768;545.4169336;680.8441296;1122.777685;232.6614203;237.4739299;255.0288117;300.5621084;380.1372258;456.0842125;538.5887105;865.4256014;1145.991962;1926.219604;1192.859359;1336.993841;4985.978494;4781.007529
"""Txnrd1""";381.8164018;342.598263;337.107732;328.2952748;322.2333907;335.5751067;318.7920299;348.7129705;344.1626945;334.314227;281.9060074;315.0171192;319.0822667;345.9099356;344.2743736;338.8580503;342.7029785;360.1427458;354.0862243;334.9970453;329.8405696;352.6405588;356.0779721;357.9074558;363.8689239;350.126966;348.3863656;340.3022426;319.6037681;357.3393241;360.3690021;291.4119565;326.7151681;324.1610492;363.885259;371.443766;361.027697;357.3703866;344.1909423;344.0427692;344.6003115;310.7552228;35.71510104;36.42313847;30.11050435;31.93406157;33.68852895;28.33585758;39.76326288;40.50296647;58.04828624;59.80102567;89.79633016;31.95402671;30.63476205;42.25479011;46.78680803;48.05246166;68.06877272;77.95779092;135.87521;171.7091771;244.8668928;32.33829817;36.26709533;38.99192185;32.39652271;36.14044324;40.45180569;32.7981956;41.43200148;48.93525658;61.2103869;93.10359687;40.87534701;37.56742668;33.93832118;35.08431216;47.0702487;67.64224465;78.37330801;128.1071227;168.7626022;228.9553212;553.2707691;750.0471065;333.1416556;274.6846312
"""Kpna3""";62.67340494;77.46487754;67.58128458;70.50159289;63.05856844;60.91574644;65.865337;51.05773292;54.89790271;62.41953465;44.26980937;64.33548407;66.63819974;74.76984651;67.34069819;61.73588963;55.39225562;66.45218078;57.5642917;60.67692687;45.86769831;54.07102062;60.49431674;57.40416084;52.49982852;64.73838686;70.29956291;65.56618702;61.57430788;48.40615011;44.76942617;36.32891226;67.23178656;52.36752996;51.26881555;70.04022086;72.46559736;69.48112326;53.07355009;60.17189627;41.17886153;37.59799321;4.035242422;4.095179046;2.630651286;4.041057876;4.198594304;4.316506449;5.233205539;5.085591143;9.177793326;13.02776605;23.48075723;2.59508711;2.375969055;4.728446534;7.008372144;18.58604134;27.97967543;35.1039572;52.03009931;68.90456861;68.33805394;4.023752956;3.886834774;3.583427644;2.812666492;4.408990223;5.531927724;4.477592866;6.566794516;6.850484494;10.07571456;19.89994595;2.928926789;2.259176451;3.892993317;6.863597628;16.97048711;26.42224019;32.07628053;56.71629053;51.70051757;49.51010484;92.71835482;50.89457972;141.9891297;121.8835679
"""Itgb1""";38.20042562;40.8964578;38.39910805;38.94793461;35.44044941;35.99495406;33.15791608;29.95935373;30.45552362;26.73428023;26.88824766;45.9820266;43.27118068;42.58454429;39.85340716;36.66430927;35.12626456;29.44122042;32.30919807;25.5059391;21.65678941;45.98802345;42.3542634;39.94353396;29.77186264;33.82844642;35.04005487;35.73334512;34.70514948;32.52590791;31.58992254;23.91940265;46.57207871;44.21972869;44.73552104;36.46248243;41.89842715;41.87477556;41.31332254;39.39318842;31.76154933;22.0873135;7.834795799;8.078043669;5.27801131;6.541432614;9.297418858;9.39395768;10.62061502;11.8426893;16.55332069;18.21674128;32.00993607;4.742209757;5.172816197;9.531608358;12.56610496;13.51954916;19.94915638;20.53682552;41.39886268;53.78303103;72.58995775;9.814307269;7.943379334;6.050096814;9.502199404;6.043748135;9.191598947;10.41998367;11.86802701;16.7638981;19.40312844;30.50387293;9.457426922;9.339359755;6.278128064;7.569159888;14.97522879;17.25448816;25.1521364;41.48358128;53.42128646;78.33672367;28.03898879;28.13811584;24.09010535;47.03047803
"""Lgals9""";123.5845488;128.9491962;126.3886841;119.8810257;117.555613;125.379446;114.7973865;109.08944;117.4815906;110.0917408;80.67915564;125.9895398;118.9117011;126.8953907;124.8751243;135.8143088;136.6115797;112.3988649;97.31475201;98.44413706;73.14707663;143.6069145;139.8232145;138.5533848;134.7887618;135.6223676;136.3331597;126.2374987;120.2224911;113.7906529;106.3089916;88.09217932;135.4736038;124.9403983;131.9922546;133.9403176;123.3119934;120.5713359;119.8790941;101.6637371;74.16382523;77.49851035;32.48988242;32.03326552;29.94604996;25.51437002;32.941178;29.67934167;34.48782355;34.06081155;53.93688802;82.52349717;71.4088481;54.86332841;26.85709035;37.37052152;24.69139198;36.51716933;55.70963386;71.96528975;162.8950254;248.4127092;259.9416859;32.85322647;34.23733497;30.34507527;25.56997;30.56364385;44.14712117;39.48706043;40.53242649;53.40501701;60.91396461;71.02213542;22.69017457;30.86212915;24.07742201;26.89683217;40.19844882;60.53435471;80.41042184;161.1843149;203.4476663;244.9227611;42.90861002;164.5159448;97.61392111;109.9232139
"""Mtpn""";2153.918222;1943.91963;1934.765211;1863.193287;1846.658045;1843.463987;1847.934283;1890.007732;1939.615328;1866.726897;1474.257009;1815.351938;1924.780466;1949.84582;1804.564859;1943.279708;1876.460641;1897.766338;1883.924959;1889.127371;1678.441063;2332.143962;2189.119209;2105.27729;2067.23621;2045.624457;2035.620881;1916.717683;2056.144119;2054.012807;2061.587161;1617.07232;1939.177392;1919.128312;2114.602195;2118.510459;2017.526881;2033.996559;2133.788256;2006.399177;2152.817591;1857.373817;222.8708678;189.5792743;144.7731394;160.5926048;147.7537268;254.4077569;169.0481604;191.6333682;263.5061123;306.0823815;422.4632282;230.6780275;191.4102756;179.6910983;159.7296027;220.6593314;289.5048838;351.8069811;575.2964786;773.5017631;1197.617811;163.46917;146.6480757;136.1017864;146.1715431;145.2782065;156.7356089;169.6264452;196.4101268;253.7437562;321.1452122;471.3230342;243.2880012;133.0596983;146.0893392;172.299995;216.9240226;297.028926;336.9612412;577.6171595;802.4297108;1212.492909;2831.110089;2689.67041;1402.667008;1943.077617
